"item","study_id","sub_id","task","response","rater1","rater2","rater3","rater_mean","response_id","fs","prompt","jrt"
"building","study_4",9,"hypothesis","The plant life may have adapted to sustain itself",2,3,3,2.666666667,15686,0.168859089,"why there is plant growth in an abandoned building",0.414394278783475
"building","study_4",9,"hypothesis","The plant life might be getting indirect sunlight through doorways or windows",2,3,2,2.333333333,15687,0.022105564,"why there is plant growth in an abandoned building",0.0972330878254381
"building","study_4",9,"hypothesis","The plant life might not need any direct sunlight",2,2,2,2,15688,-0.299260584,"why there is plant growth in an abandoned building",-0.525050470132221
"building","study_4",21,"hypothesis","They have adapted to their environment",2,2,3,2.333333333,15962,-0.152507059,"why there is plant growth in an abandoned building",-0.192003161191187
"building","study_4",79,"hypothesis","These plants live off of dust.",4,4,4,4,17587,0.913342639,"why there is plant growth in an abandoned building",1.64413904879864
"building","study_4",35,"hypothesis","The plants receive nutrients from another source rather than sunlight",2,3,3,2.666666667,16371,0.168859089,"why there is plant growth in an abandoned building",0.414394278783475
"building","study_4",67,"hypothesis","The plant dies in the sun",4,3,2,3,17301,0.298469441,"why there is plant growth in an abandoned building",0.588564644151372
"building","study_4",12,"hypothesis","If there is no sunlight then then plants must be able to grow in other places around the world.",2,3,3,2.666666667,15748,0.168859089,"why there is plant growth in an abandoned building",0.414394278783475
"building","study_4",35,"hypothesis","The plants adapted to receiving no direct sunlight and can now grow without it",2,2,3,2.333333333,16369,-0.152507059,"why there is plant growth in an abandoned building",-0.192003161191187
"building","study_4",21,"hypothesis","They are fake",3,3,1,2.333333333,15961,0.013533977,"why there is plant growth in an abandoned building",0.143473576981904
"building","study_4",10,"hypothesis","The planets have been moved there and they will eventually die",3,2,2,2.333333333,15712,-0.161078646,"why there is plant growth in an abandoned building",-0.174225127023173
"building","study_4",35,"hypothesis","The plants are a species that do not need direct sunlight in order to grow",2,2,2,2,16370,-0.299260584,"why there is plant growth in an abandoned building",-0.525050470132221
"building","study_4",55,"hypothesis","The plant life is specific to their environment.",2,3,3,2.666666667,16923,0.168859089,"why there is plant growth in an abandoned building",0.414394278783475
"building","study_4",6,"hypothesis","Maybe its a new type of plant that was created or grown",2,2,3,2.333333333,15630,-0.152507059,"why there is plant growth in an abandoned building",-0.192003161191187
"building","study_4",103,"hypothesis","the building was probalby very dirty before it was abandoned and therefore has a lot of dirt/various nutrients the plants need to survive",2,3,3,2.666666667,18224,0.168859089,"why there is plant growth in an abandoned building",0.414394278783475
"building","study_4",71,"hypothesis","These plants do not need sunlight and that is why they grew in an area that does not have any direct light",2,2,2,2,17391,-0.299260584,"why there is plant growth in an abandoned building",-0.525050470132221
"building","study_4",51,"hypothesis","The decaying material of the building may provide a good soil for different kinds of plant life",2,4,3,3,16822,0.490225237,"why there is plant growth in an abandoned building",0.866730996624429
"building","study_4",12,"hypothesis","If there is no sunlight then the plants must be able to live off of something else.",2,2,3,2.333333333,15747,-0.152507059,"why there is plant growth in an abandoned building",-0.192003161191187
"building","study_4",90,"hypothesis","there is a hidden source of unnatural light in the building",3,2,3,2.666666667,17892,-0.01432512,"why there is plant growth in an abandoned building",0.16933166843992
"building","study_4",3,"hypothesis","The soil that kinds of plant grow at is different.",2,3,3,2.666666667,15561,0.168859089,"why there is plant growth in an abandoned building",0.414394278783475
"building","study_4",92,"hypothesis","their is a different type of soil used that has not been used till them.",2,3,3,2.666666667,17950,0.168859089,"why there is plant growth in an abandoned building",0.414394278783475
"building","study_4",85,"hypothesis","plants in here do not contain chloroplasts",2,5,4,3.666666667,17762,0.958344909,"why there is plant growth in an abandoned building",1.54793096142848
"building","study_4",79,"hypothesis","Theres plants live off of mold.",NA,4,4,4,17586,0.820559319,"why there is plant growth in an abandoned building",1.46433829823507
"building","study_4",98,"hypothesis","the plants recieve a suffiecient amount of water",2,2,3,2.333333333,18097,-0.152507059,"why there is plant growth in an abandoned building",-0.192003161191187
"building","study_4",24,"hypothesis","The planets still grow because the abandoned building has other elements to offer them to make the planets grow",3,3,3,3,16039,0.307041027,"why there is plant growth in an abandoned building",0.690466144311051
"building","study_4",21,"hypothesis","These plants only need little sunlight to survive",1,2,2,1.666666667,15960,-0.437442523,"why there is plant growth in an abandoned building",-0.892152012790597
"building","study_4",56,"hypothesis","Predatory plants",3,5,2,3.333333333,16950,0.803019797,"why there is plant growth in an abandoned building",1.08765882215653
